AnimalID,AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,OutcomeClass
A727802,Dog,Schnauzer Giant Mix,White/Black,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption
A797450,Dog,Labrador Retriever Mix,White,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Verano,Transfer
A735935,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption
A667042,Dog,Labrador Retriever Mix,Black,Intact Female,Stray,Normal,300.0,Joven (6m-1a),mix,Monocolor,Otoño,Adoption
A734435,Cat,Domestic Shorthair Mix,Calico,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Verano,Return to Owner
A732339,Dog,Dachshund Longhair Mix,Red,Neutered Male,Stray,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Verano,Return to Owner
A826415,Cat,Siamese,Lynx Point,Intact Male,Stray,Injured,730.0,Adulto joven (1-3a),purebred,Monocolor,Otoño,At Risk
A828292,Dog,Dachshund Wirehair/Chihuahua Shorthair,White/Tan,Intact Female,Stray,Normal,90.0,Cachorro (<6m),purebred,Bicolor,Invierno,Transfer
A793762,Dog,Border Collie Mix,Buff,Spayed Female,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Primavera,Adoption
A747882,Cat,Domestic Shorthair Mix,Cream Tabby/White,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption
A756553,Cat,Siamese Mix,Lynx Point,Intact Male,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A686496,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Owner Surrender,Normal,150.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A799604,Dog,Border Collie,Black/White,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Verano,Adoption
A767551,Cat,Domestic Longhair Mix,Black,Spayed Female,Public Assist,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Primavera,Return to Owner
A822886,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,Stray,Normal,30.0,Cachorro (<6m),purebred,Bicolor,Otoño,Transfer
A713035,Cat,Domestic Shorthair Mix,Black,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Transfer
A728275,Cat,Domestic Medium Hair Mix,White,Intact Male,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A719472,Dog,Miniature Poodle Mix,White,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Return to Owner
A664552,Dog,Chinese Sharpei Mix,White/Black,Intact Female,Stray,Nursing,4.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption
A688704,Cat,Domestic Shorthair Mix,White/Black,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption
A702581,Dog,Pit Bull Mix,Brown/White,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Adoption
A710164,Dog,Pit Bull Mix,White/Red,Intact Female,Stray,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Verano,Adoption
A698758,Dog,Labrador Retriever/Border Collie,Black,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Primavera,Adoption
A791722,Cat,Domestic Shorthair Mix,Gray Tabby,Intact Female,Stray,Nursing,21.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer
A792700,Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,120.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption
A792989,Dog,Labrador Retriever Mix,Black,Intact Female,Stray,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Primavera,Adoption
A619009,Cat,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,Owner Surrender,Normal,3650.0,Senior (>7a),mix,Bicolor,Primavera,Adoption
A424158,Dog,Chihuahua Shorthair Mix,Tan/White,Neutered Male,Stray,Normal,4015.0,Senior (>7a),mix,Bicolor,Primavera,Return to Owner
A765879,Dog,German Shepherd Mix,Black/Brown,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Transfer
A788881,Dog,American Pit Bull Terrier Mix,Blue Tiger/White,Neutered Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Invierno,Return to Owner
A797472,Dog,Chihuahua Longhair Mix,Black/Tan,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Verano,Transfer
A800053,Cat,Domestic Shorthair,Black/White,Intact Male,Stray,Nursing,7.0,Cachorro (<6m),purebred,Bicolor,Verano,Transfer
A689261,Dog,Dachshund Wirehair Mix,White,Neutered Male,Stray,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Invierno,Return to Owner
A753207,Cat,Domestic Shorthair Mix,Cream Tabby,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A750299,Cat,Domestic Longhair Mix,Brown Tabby,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer
A823511,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption
A778911,Dog,Cairn Terrier Mix,White/Brown,Intact Male,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Verano,Transfer
