AnimalType,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,OutcomeClass,AgeInDays_log
Dog,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption,4.110873864173311
Dog,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Verano,Transfer,5.902633333401366
Cat,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption,5.902633333401366
Dog,Intact Female,Stray,Normal,300.0,Joven (6m-1a),mix,Monocolor,Otoño,Adoption,5.707110264748875
Cat,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Verano,Return to Owner,6.594413459749778
Dog,Neutered Male,Stray,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Verano,Return to Owner,7.509883061154913
Cat,Intact Male,Stray,Injured,730.0,Adulto joven (1-3a),purebred,Monocolor,Otoño,At Risk,6.594413459749778
Dog,Intact Female,Stray,Normal,90.0,Cachorro (<6m),purebred,Bicolor,Invierno,Transfer,4.51085950651685
Dog,Spayed Female,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Primavera,Adoption,6.999422467507961
Cat,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption,4.110873864173311
Cat,Intact Male,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption,3.367295829986474
Cat,Intact Male,Owner Surrender,Normal,150.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption,5.017279836814924
Dog,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Verano,Adoption,6.594413459749778
Cat,Spayed Female,Public Assist,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Primavera,Return to Owner,7.509883061154913
Cat,Intact Female,Stray,Normal,30.0,Cachorro (<6m),purebred,Bicolor,Otoño,Transfer,3.4339872044851463
Cat,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Transfer,6.594413459749778
Cat,Intact Male,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption,3.367295829986474
Dog,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Return to Owner,6.594413459749778
Dog,Intact Female,Stray,Nursing,4.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption,1.6094379124341003
Cat,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption,4.110873864173311
Dog,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Adoption,6.594413459749778
Dog,Intact Female,Stray,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Verano,Adoption,7.2868764117507
Dog,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Primavera,Adoption,6.594413459749778
Cat,Intact Female,Stray,Nursing,21.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer,3.091042453358316
Cat,Intact Male,Stray,Normal,120.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption,4.795790545596741
Dog,Intact Female,Stray,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Primavera,Adoption,7.509883061154913
Cat,Neutered Male,Owner Surrender,Normal,3650.0,Senior (>7a),mix,Bicolor,Primavera,Adoption,8.202756381655638
Dog,Neutered Male,Stray,Normal,4015.0,Senior (>7a),mix,Bicolor,Primavera,Return to Owner,8.298041661371565
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Transfer,5.902633333401366
Dog,Neutered Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Invierno,Return to Owner,6.999422467507961
Dog,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Verano,Transfer,3.4339872044851463
Cat,Intact Male,Stray,Nursing,7.0,Cachorro (<6m),purebred,Bicolor,Verano,Transfer,2.0794415416798357
Dog,Neutered Male,Stray,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Invierno,Return to Owner,7.2868764117507
Cat,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption,3.4339872044851463
